Age,Gender,OwnHome,Married,Location,Salary,Children,History,Catalogs,AmountSpent,Gender_b,Married_b,Location_b,Ownhome_b,Age_y,Age_m,Hist_m,Hist_h
Old,Female,Own,Single,Far,47500,0,High,6,755,1,0,0,1,0,0,0,1
Middle,Male,Rent,Single,Close,63600,0,High,6,1318,0,0,1,0,0,1,0,1
Young,Female,Rent,Single,Close,13500,0,Low,18,296,1,0,1,0,1,0,0,0
Middle,Male,Own,Married,Close,85600,1,High,18,2436,0,1,1,1,0,1,0,1
Middle,Female,Own,Single,Close,68400,0,High,12,1304,1,0,1,1,0,1,0,1
Young,Male,Own,Married,Close,30400,0,Low,6,495,0,1,1,1,1,0,0,0
Middle,Female,Rent,Single,Close,48100,0,Medium,12,782,1,0,1,0,0,1,1,0
Middle,Male,Own,Single,Close,68400,0,High,18,1155,0,0,1,1,0,1,0,1
Middle,Female,Own,Married,Close,51900,3,Low,6,158,1,1,1,1,0,1,0,0
Old,Male,Own,Married,Far,80700,0,NA,18,3034,0,1,0,1,0,0,0,0
Young,Male,Rent,Married,Close,43700,1,NA,12,927,0,1,1,0,1,0,0,0
Middle,Male,Own,Married,Far,111800,3,High,18,2065,0,1,0,1,0,1,0,1
Middle,Female,Own,Married,Close,44100,1,Medium,24,704,1,1,1,1,0,1,1,0
Middle,Male,Own,Married,Close,111400,0,High,12,2136,0,1,1,1,0,1,0,1
Old,Female,Own,Married,Far,110000,0,High,24,5564,1,1,0,1,0,0,0,1
Middle,Female,Own,Married,Far,83100,1,NA,12,2766,1,1,0,1,0,1,0,0
Old,Female,Own,Married,Close,82800,0,High,24,3010,1,1,1,1,0,0,0,1
Middle,Male,Own,Married,Close,90100,0,High,18,1956,0,1,1,1,0,1,0,1
Middle,Male,Rent,Single,Close,38600,1,Low,18,542,0,0,1,0,0,1,0,0
Old,Female,Rent,Single,Far,14000,0,Low,12,410,1,0,0,0,0,0,0,0
Young,Female,Rent,Single,Far,14300,2,Low,6,194,1,0,0,0,1,0,0,0
Young,Male,Rent,Married,Close,49800,0,Medium,12,827,0,1,1,0,1,0,1,0
Old,Female,Rent,Married,Far,60200,0,High,18,2328,1,1,0,0,0,0,0,1
Young,Male,Rent,Married,Far,43500,1,Medium,12,808,0,1,0,0,1,0,1,0
Young,Female,Rent,Married,Close,41700,1,NA,6,521,1,1,1,0,1,0,0,0
Middle,Female,Own,Married,Close,92300,3,Low,18,655,1,1,1,1,0,1,0,0
Middle,Male,Own,Single,Close,62800,3,NA,6,707,0,0,1,1,0,1,0,0
Middle,Female,Rent,Married,Far,72900,0,High,18,2075,1,1,0,0,0,1,0,1
Middle,Female,Rent,Married,Close,66900,2,Medium,12,769,1,1,1,0,0,1,1,0
Young,Male,Rent,Single,Close,21700,1,NA,18,774,0,0,1,0,1,0,0,0
Old,Female,Rent,Married,Close,39700,0,Medium,12,573,1,1,1,0,0,0,1,0
Middle,Male,Rent,Married,Far,72200,1,High,12,2082,0,1,0,0,0,1,0,1
Middle,Female,Rent,Married,Close,87700,3,NA,24,2446,1,1,1,0,0,1,0,0
Middle,Male,Own,Married,Close,104100,0,High,24,2636,0,1,1,1,0,1,0,1
Middle,Male,Rent,Single,Far,67700,0,High,12,2226,0,0,0,0,0,1,0,1
Middle,Female,Own,Single,Close,27000,2,Low,6,183,1,0,1,1,0,1,0,0
Middle,Female,Own,Single,Far,64100,2,High,24,1595,1,0,0,1,0,1,0,1
Middle,Male,Rent,Single,Close,47000,1,Medium,12,584,0,0,1,0,0,1,1,0
Old,Female,Own,Married,Close,41600,0,NA,18,982,1,1,1,1,0,0,0,0
Old,Female,Rent,Single,Close,20100,0,Low,24,576,1,0,1,0,0,0,0,0
Middle,Male,Own,Single,Close,64000,3,Low,12,410,0,0,1,1,0,1,0,0
Middle,Female,Own,Married,Far,96800,3,NA,24,3082,1,1,0,1,0,1,0,0
Middle,Male,Rent,Married,Close,76200,1,NA,24,2437,0,1,1,0,0,1,0,0
Old,Female,Rent,Married,Far,81500,0,High,18,3655,1,1,0,0,0,0,0,1
Middle,Female,Own,Single,Close,49600,1,Medium,12,844,1,0,1,1,0,1,1,0
Old,Female,Own,Married,Close,111500,0,High,18,2510,1,1,1,1,0,0,0,1
Middle,Male,Own,Married,Close,77700,0,NA,6,983,0,1,1,1,0,1,0,0
Young,Male,Own,Married,Close,58900,0,NA,18,1215,0,1,1,1,1,0,0,0
Middle,Male,Own,Married,Close,126500,2,High,18,2000,0,1,1,1,0,1,0,1
Middle,Female,Own,Married,Close,83300,1,High,24,2574,1,1,1,1,0,1,0,1
Middle,Female,Own,Married,Close,90500,1,High,6,1116,1,1,1,1,0,1,0,1
Middle,Female,Own,Married,Far,87200,0,High,18,3604,1,1,0,1,0,1,0,1
Middle,Female,Own,Married,Close,105300,1,NA,24,3360,1,1,1,1,0,1,0,0
Middle,Female,Own,Single,Far,56000,3,Medium,6,530,1,0,0,1,0,1,1,0
Middle,Female,Rent,Single,Close,46600,0,Medium,24,906,1,0,1,0,0,1,1,0
Old,Male,Rent,Married,Close,69800,0,High,24,2764,0,1,1,0,0,0,0,1
Middle,Male,Own,Single,Close,60300,0,High,24,1263,0,0,1,1,0,1,0,1
Young,Male,Rent,Married,Close,67800,0,High,12,1084,0,1,1,0,1,0,0,1
Middle,Male,Rent,Single,Close,42300,0,Medium,24,1051,0,0,1,0,0,1,1,0
Young,Female,Own,Married,Far,33700,0,NA,6,614,1,1,0,1,1,0,0,0
Middle,Male,Own,Single,Close,62700,2,Medium,12,704,0,0,1,1,0,1,1,0
Young,Female,Own,Single,Close,25900,2,NA,12,449,1,0,1,1,1,0,0,0
Young,Female,Own,Single,Close,15600,1,Low,6,136,1,0,1,1,1,0,0,0
Old,Female,Own,Single,Close,14600,0,Low,24,468,1,0,1,1,0,0,0,0
Old,Female,Own,Married,Close,62600,0,High,6,565,1,1,1,1,0,0,0,1
Young,Male,Rent,Married,Close,66700,0,NA,18,1310,0,1,1,0,1,0,0,0
Middle,Male,Own,Married,Far,72500,0,NA,24,2595,0,1,0,1,0,1,0,0
Young,Female,Rent,Single,Far,13200,0,NA,24,358,1,0,0,0,1,0,0,0
Middle,Female,Own,Single,Close,51300,0,Medium,24,1424,1,0,1,1,0,1,1,0
Middle,Male,Own,Single,Far,72300,0,High,24,4182,0,0,0,1,0,1,0,1
Young,Female,Rent,Single,Close,15600,0,NA,12,468,1,0,1,0,1,0,0,0
